Host Name,Mass (in Earth Mass),Radius (in Earth Radius),cluster
1RXS J160929.1-210524,2543,18.647,2
2MASS J02192210-3925225,4417.837,16.141,2
AU Mic,57.2094,4.203,1
BD+60 1417,4767.4261,14.684,2
CFHTWIR-Oph 98 A,2479.06157,20.849,2
COCONUTS-2 A,2002.31896,12.442,3
CT Cha,5403,24.66,2
CoRoT-1,327.35,16.7,1
CoRoT-10,883.5674,10.548,3
CoRoT-11,743.7222,15.984,3
CoRoT-12,291.438,16.14,1
CoRoT-13,415.704,9.92,1
CoRoT-14,2415.4,12.22,2
CoRoT-16,170.032,13.11,1
CoRoT-17,765.9703,11.433,3
CoRoT-2,1102.82,16.432,3
CoRoT-20,1344.4209,9.416,3
CoRoT-21,705.5826,14.572,3
CoRoT-22,12.2,4.88,1
CoRoT-23,889.9,11.77,3
CoRoT-24,5.7,3.7,1
CoRoT-25,85.81,12.11,1
CoRoT-26,184.3414,14.123,1
CoRoT-27,3302.11,11.287,2
CoRoT-28,153.82972,10.705,1
CoRoT-29,266.9772,10.088,1
CoRoT-3,6814.2752,11.321,0
CoRoT-30,921.707,11.31,3
CoRoT-31,266.9772,16.365,1
CoRoT-35,349.61125,18.831,1
CoRoT-36,216.12332,15.805,1
CoRoT-4,223.43449,13.339,1
CoRoT-7,4.07661,1.681,1
CoRoT-8,69.28694,6.938,1
CoRoT-9,266.97,11.77,1
EPIC 229004835,10.4,2.332,1
EPIC 248847494,4131.79,12.442,2
EPIC 249893012,8.75,1.95,1
GJ 3470,13.9,4.83,1
GJ 3473,1.86,1.264,1
GJ 357,1.84,1.217,1
GJ 3929,1.75,1.09,1
GJ 414 A,7.6,2.63,1
GJ 436,25.4,4.1,1
GJ 486,2.82,1.305,1
GJ 9827,4.89,1.571,1
GQ Lup,9852.73,51.561,0
GU Psc,3591.3,14.179,2
Gaia-1,533.95172,13.776,1
Gaia-2,259.66581,14.818,1
HAT-P-12,63.88383,10.301,1
HAT-P-13,271.098,14.359,1
HAT-P-15,619.45067,12.016,3
HAT-P-19,92.802,12.689,1
HAT-P-26,22.2481,7.062,1
HAT-P-27,209.759,11.635,1
HAT-P-28,198.953,13.585,1
HAT-P-3,190.38017,9.976,1
HAT-P-35,335.62848,14.93,1
HAT-P-36,587.41341,14.314,3
HAT-P-37,378.2177,13.798,1
